kernel,requested_ratio,actual_allocation_ratio,tenant_requested_bytes,block,policy,high_s,low_s,both_finished_s,high_kernel_ms,low_kernel_ms,release_skew_us,source
gemm,1.0,0.9963422962980265,16834658304,0,combined,11.066558,18.559339,18.559339,1229.79,1229.13,1.1920928955078125,gemm/ratio-1.0/combined_20260908_042529/block00_combined
gemm,1.0,0.9963422962980265,16834658304,1,sched_only,11.422496,16.388793,16.388793,1229.44,1228.94,1.9073486328125,gemm/ratio-1.0/combined_20260908_042529/block01_sched_only
gemm,1.0,0.9963422962980265,16834658304,1,prefetch_only,18.896273,22.200719,22.200719,5642.91,1227.95,1.9073486328125,gemm/ratio-1.0/combined_20260908_042529/block01_prefetch_only
gemm,1.0,0.9963422962980265,16834658304,1,memory_only,18.827629,22.264064,22.264064,5550.94,1229.21,3.0994415283203125,gemm/ratio-1.0/combined_20260908_042529/block01_memory_only
gemm,1.0,0.9963422962980265,16834658304,1,combined,11.165094,18.691254,18.691254,1232.09,1231.67,3.0994415283203125,gemm/ratio-1.0/combined_20260908_042529/block01_combined
gemm,1.0,0.9963422962980265,16834658304,1,baseline,115.410828,115.694493,115.694493,36645.6,36617.3,0.95367431640625,gemm/ratio-1.0/combined_20260908_042529/block01_baseline
gemm,1.0,0.9963422962980265,16834658304,2,prefetch_only,18.952147,22.253383,22.253383,5689.04,1226.58,1.9073486328125,gemm/ratio-1.0/combined_20260908_042529/block02_prefetch_only
gemm,1.0,0.9963422962980265,16834658304,2,memory_only,15.831247,19.716288,19.716288,2580.89,1228.79,2.86102294921875,gemm/ratio-1.0/combined_20260908_042529/block02_memory_only
gemm,1.0,0.9963422962980265,16834658304,2,combined,11.147908,18.634827,18.634827,1231.22,1230.64,2.86102294921875,gemm/ratio-1.0/combined_20260908_042529/block02_combined
gemm,1.0,0.9963422962980265,16834658304,2,baseline,115.468852,115.214236,115.468852,36591.2,36621.2,0.95367431640625,gemm/ratio-1.0/combined_20260908_042529/block02_baseline
gemm,1.0,0.9963422962980265,16834658304,2,sched_only,11.415294,16.422692,16.422692,1231.83,1231.33,1.9073486328125,gemm/ratio-1.0/combined_20260908_042529/block02_sched_only
gemm,1.0,0.9963422962980265,16834658304,3,memory_only,15.855199,19.77332,19.77332,2581.53,1229.05,1.9073486328125,gemm/ratio-1.0/combined_20260908_042529/block03_memory_only
gemm,1.0,0.9963422962980265,16834658304,3,combined,11.111723,18.616666,18.616666,1228.25,1227.92,1.9073486328125,gemm/ratio-1.0/combined_20260908_042529/block03_combined
gemm,1.0,0.9963422962980265,16834658304,3,baseline,115.464969,115.222213,115.464969,36571.6,36600.4,0.0,gemm/ratio-1.0/combined_20260908_042529/block03_baseline
gemm,1.0,0.9963422962980265,16834658304,3,sched_only,11.368469,16.328165,16.328165,1228.11,1227.66,9.059906005859375,gemm/ratio-1.0/combined_20260908_042529/block03_sched_only
gemm,1.0,0.9963422962980265,16834658304,3,prefetch_only,18.94484,22.254401,22.254401,5697.32,1227.68,2.1457672119140625,gemm/ratio-1.0/combined_20260908_042529/block03_prefetch_only
gemm,1.0,0.9963422962980265,16834658304,4,combined,11.195199,18.690285,18.690285,1230.15,1229.5,2.1457672119140625,gemm/ratio-1.0/combined_20260908_042529/block04_combined
gemm,1.0,0.9963422962980265,16834658304,4,baseline,115.576331,115.822625,115.822625,36801.1,36767.2,0.95367431640625,gemm/ratio-1.0/combined_20260908_042529/block04_baseline
gemm,1.0,0.9963422962980265,16834658304,4,sched_only,11.458499,16.446852,16.446852,1230.41,1229.9,1.9073486328125,gemm/ratio-1.0/combined_20260908_042529/block04_sched_only
gemm,1.0,0.9963422962980265,16834658304,4,prefetch_only,18.892608,22.195429,22.195429,5640.74,1232.13,1.9073486328125,gemm/ratio-1.0/combined_20260908_042529/block04_prefetch_only
gemm,1.0,0.9963422962980265,16834658304,4,memory_only,18.810147,22.244405,22.244405,5533.69,1225.93,2.1457672119140625,gemm/ratio-1.0/combined_20260908_042529/block04_memory_only
gemm,1.2,1.1998953655745075,20201590784,0,baseline,139.04066,139.316133,139.316133,44162.0,44075.9,0.95367431640625,gemm/ratio-1.2/combined_20260908_051952/block00_baseline
gemm,1.2,1.1998953655745075,20201590784,0,sched_only,13.538647,19.482948,19.482948,1477.91,1477.87,3.0994415283203125,gemm/ratio-1.2/combined_20260908_051952/block00_sched_only
gemm,1.2,1.1998953655745075,20201590784,0,prefetch_only,25.818314,31.742508,31.742508,6662.5,1478.96,2.1457672119140625,gemm/ratio-1.2/combined_20260908_051952/block00_prefetch_only
gemm,1.2,1.1998953655745075,20201590784,0,memory_only,25.802024,31.742631,31.742631,6686.13,1481.44,2.86102294921875,gemm/ratio-1.2/combined_20260908_051952/block00_memory_only
gemm,1.2,1.1998953655745075,20201590784,0,combined,13.048111,22.047079,22.047079,1481.51,1480.91,3.0994415283203125,gemm/ratio-1.2/combined_20260908_051952/block00_combined
gemm,1.2,1.1998953655745075,20201590784,1,sched_only,13.490236,19.457055,19.457055,1481.46,1482.51,1.9073486328125,gemm/ratio-1.2/combined_20260908_051952/block01_sched_only
gemm,1.2,1.1998953655745075,20201590784,1,prefetch_only,25.976476,31.906264,31.906264,6680.39,1480.74,2.86102294921875,gemm/ratio-1.2/combined_20260908_051952/block01_prefetch_only
gemm,1.2,1.1998953655745075,20201590784,1,memory_only,25.993489,31.959388,31.959388,6687.17,1483.98,1.9073486328125,gemm/ratio-1.2/combined_20260908_051952/block01_memory_only
gemm,1.2,1.1998953655745075,20201590784,1,combined,13.166754,22.150077,22.150077,1479.89,1479.31,3.0994415283203125,gemm/ratio-1.2/combined_20260908_051952/block01_combined
gemm,1.2,1.1998953655745075,20201590784,1,baseline,139.221523,139.472639,139.472639,44149.5,44130.2,0.0,gemm/ratio-1.2/combined_20260908_051952/block01_baseline
gemm,1.2,1.1998953655745075,20201590784,2,prefetch_only,25.888964,31.820618,31.820618,6638.52,1478.6,2.1457672119140625,gemm/ratio-1.2/combined_20260908_051952/block02_prefetch_only
gemm,1.2,1.1998953655745075,20201590784,2,memory_only,25.698416,31.621371,31.621371,6563.65,1479.31,1.9073486328125,gemm/ratio-1.2/combined_20260908_051952/block02_memory_only
gemm,1.2,1.1998953655745075,20201590784,2,combined,13.054147,22.0728,22.0728,1477.89,1477.49,1.9073486328125,gemm/ratio-1.2/combined_20260908_051952/block02_combined
gemm,1.2,1.1998953655745075,20201590784,2,baseline,138.819346,139.131148,139.131148,44232.6,43989.0,0.95367431640625,gemm/ratio-1.2/combined_20260908_051952/block02_baseline
gemm,1.2,1.1998953655745075,20201590784,2,sched_only,13.467628,19.406117,19.406117,1475.22,1475.21,3.0994415283203125,gemm/ratio-1.2/combined_20260908_051952/block02_sched_only
